"Ticker","Nome","Negócios","Última (R$)","Variação"
"LIGT3","Light","2.168.900","5,30","+4,13%"
"CASH3","Méliuz","1.993.200","4,54","-0,44%"
"RECV3","PetroRecôncavo","1.958.000","21,99","-0,81%"
"SMFT3","Smart Fit","1.914.700","25,83","-0,84%"
"POSI3","Positivo","1.880.500","9,94","-0,50%"
"INTB3","Intelbras","1.870.600","18,73","-0,37%"
"CPFE3","CPFL Energia","1.856.000","35,29","-1,18%"
"CURY3","Cury","1.848.400","20,39","+1,54%"
"VIVT3","Vivo","1.844.000","49,38","-2,16%"
"SBFG3","Grupo SBF","1.841.300","13,67","-1,94%"
"ODPV3","Odontoprev","1.820.900","11,54","-1,54%"
"EZTC3","EZTEC","1.808.900","15,28","+1,87%"
"GUAR3","Guararapes","1.684.900","8,08","-1,10%"
"SBSP3","Sabesp","1.642.100","82,37","-1,71%"
"CLSA3","ClearSale","1.556.100","6,87","+8,36%"
"AZEV3","Azevedo & Travassos","1.543.500","1,77","+1,14%"
"AERI3","Aeris Energy","1.452.400","0,62","+3,33%"
"AESB3","AES Brasil","1.449.900","9,56","-1,34%"
"BRKM5","Braskem","1.447.100","24,54","-0,69%"
"SAPR4","Sanepar","1.410.800","5,11","-0,97%"
"PSSA3","Porto Seguro","1.328.800","31,00","+0,06%"
"LJQQ3","Lojas Quero-Quero","1.288.300","5,40","-0,92%"
"PORT3","Wilson Sons","1.288.000","17,39","-1,36%"
"NEOE3","Neoenergia","1.246.300","20,60","-1,15%"
"PLPL3","Plano&Plano","1.234.100","13,88","+3,27%"
"EGIE3","Engie","1.223.200","40,86","-1,54%"
"KLBN4","Klabin","1.139.500","5,02","+0,00%"
"MBLY3","Mobly","1.135.600","2,30","-2,95%"
"CSMG3","COPASA","1.125.600","21,99","+1,10%"
"BRSR6","Banrisul","1.020.100","13,33","-0,07%"
"KRSA3","Kora Saúde","992.300","0,73","-3,95%"
"HBRE3","HBR Realty","988.700","5,88","+0,86%"
"AMBP3","Ambipar","950.600","13,04","-2,18%"
"GRND3","Grendene","949.000","6,40","+0,31%"
"RAPT4","Randon","937.600","13,29","-0,23%"
"MDIA3","M. Dias Branco","913.300","35,50","-1,80%"
"VITT3","Vittia","890.500","6,39","-0,93%"
"ZAMP3","Zamp","816.000","3,17","-0,94%"
"MTRE3","Mitre Realty","783.700","5,10","+0,00%"
"FESA4","Ferbasa","767.800","8,79","-2,33%"
"NGRD3","Neogrid","759.000","1,06","+0,00%"
"TRAD3","Traders Club","745.400","0,89","-5,32%"
"JALL3","Jalles Machado","634.500","7,67","+1,86%"
"EVEN3","Even","628.200","7,90","-0,88%"
"VVEO3","Viveo","618.500","6,95","+1,46%"
"PTBL3","Portobello","593.700","6,35","-2,16%"
"POMO3","Marcopolo","588.500","5,88","-1,01%"
"PDGR3","PDG Realty","577.300","0,30","+0,00%"
"RCSL3","Recrusul","575.000","1,61","+0,62%"
"RANI3","Irani","568.800","9,46","+0,11%"
"TTEN3","3tentos","559.800","10,45","-0,38%"
"MYPK3","Iochpe-Maxion","549.700","13,80","-1,29%"
"OPCT3","OceanPact","543.200","6,12","-1,13%"
"PGMN3","Pague Menos","530.800","2,64","-2,22%"
"ENJU3","Enjoei","509.700","1,94","-3,00%"
"KEPL3","Kepler Weber","483.500","10,49","-0,66%"
"BMGB4","Banco BMG","457.400","3,43","-0,58%"
"ARML3","Armac","442.400","11,81","-2,72%"
"VLID3","Valid","434.600","17,90","-1,21%"
"LAVV3","Lavvi Incorporadora","420.400","9,14","-1,08%"
"TRIS3","Trisul","410.400","5,21","-3,70%"
"ESPA3","Espaçolaser","404.500","0,98","+0,00%"
"CAML3","Camil Alimentos","398.100","8,67","+0,93%"
"HBOR3","Helbor","394.300","2,88","-0,69%"
"AMAR3","Lojas Marisa","392.500","1,68","+0,60%"
"ABCB4","Banco ABC Brasil","385.600","24,30","-0,16%"
"VULC3","Vulcabras","385.600","16,83","-0,59%"
"JSLG3","JSL","379.000","13,16","+0,00%"
"RCSL4","Recrusul","377.300","0,63","+0,00%"
"MDNE3","Moura Dubeux","374.200","13,39","-2,90%"
"PRNR3","Priner","364.400","13,56","-0,73%"
"SEER3","Ser Educacional","363.900","6,71","-2,47%"
"BRIT3","Brisanet","318.000","4,28","+1,18%"
"TUPY3","Tupy","316.300","28,53","+0,42%"
"PINE4","PINE","314.800","4,52","+1,35%"
"WIZC3","Wiz Soluções","302.700","7,05","-1,54%"
"SHUL4","Schulz","301.700","6,75","+0,75%"
"AGXY3","AgroGalaxy","293.200","1,99","-1,00%"
"ORVR3","Orizon","291.100","37,37","-0,08%"
"MEAL3","IMC Alimentação","290.600","1,66","-1,19%"
"SYNE3","SYN","287.400","8,55","-2,95%"
"USIM3","Usiminas","284.700","9,54","-0,83%"
"MILS3","Mills","283.400","13,26","-0,82%"
"ITUB3","Itaú Unibanco","272.600","28,35","-0,35%"
"ALLD3","Allied","271.400","9,72","+1,67%"
"MATD3","Mater Dei","267.500","5,71","-1,72%"
